,formula_pretty,formation_energy_per_atom
256,BeRu2W,-0.20697665624999928
257,CeBe13,-0.15135283964285762
258,Nd2Ta2Cl2O7,-3.4377216042307692
259,Sc2BeB2Ir5,-0.8217729248333328
260,K3Dy(AsS4)2,-1.187567381714285
261,HgSO4,-1.4711955021875003
262,NaPr4I7N2,-1.712648131003695
263,Pb(ClO3)2,-0.7205506644444447
264,Ca3TeO6,-2.812127167
265,La2Sn3,-0.7558388355000005
266,La4CdPd,-0.4014995312499998
267,Nb3FeS6,-1.3059533743750003
268,KLiZnO2,-1.813746874266667
269,Yb3PbO,-1.8436874009999997
270,TcF4,-2.3248871907499997
271,CsLiF2,-3.0093263278160918
272,Sr5P3O12F,-3.4303780736111102
273,TbMg2Cu9,-0.1760312245833333
274,BaGaH5,-0.3654740667857145
275,Mg149Sb,-0.029914272066666664
276,KIn9Co2,-0.057518840249999904
277,K3CoO2,-1.260138073166667
278,TlCdCl3,-1.4434906111666668
279,Y4MgPt,-0.5161758136111109
280,Na15Sn4,-0.15516229517241362
281,Li2EuGeS4,-1.4737934461458329
282,Eu3S4,-2.1345082053571423
283,Er2Al4CoGe2,-0.634529792777778
284,La2Te3,-1.8574179217499995
285,Rb2Ge4O9,-2.1205917313333336
286,Rb3DyF6,-3.53747842075
287,UTeAs,-0.8308528183333337
288,Cs3H12N4F3,-1.0867220148315047
289,Dy5CuPb3,-0.49057378666666707
290,YMgAg,-0.29161236666666684
291,CePmTl2,-0.3088662347916662
292,ThGe,-0.7668017224999994
293,SrPt5,-0.5232423277777775
294,PrGa,-0.57916877125
295,YbPrZn2,-0.3357550362499997
296,MgPbF6,-2.8594418218749995
297,NdInPd,-0.7815985688888895
298,Sr14MnAs11,-1.0843063761063219
299,La5C2Cl9,-2.3013023853125
300,Bi3PO7,-2.080737238030303
301,LiMnGaF6,-3.0323443889367816
302,Be2C,-0.2319220400000006
303,Ba2Pr(CuO2)4,-2.0251915870000006
304,LiGeRh2,-0.6493228220833336
305,U(FeB3)2,-0.5170899994444448
306,CsHoZnSe3,-1.6475107749937135
307,RuCl2O,-1.2127369000000003
308,BiSBr,-0.8869133027083329
309,K4Sn9,-0.22285317823076958
310,CsPbBr3,-1.6368928165862073
311,Al2PdRu,-0.8092256212499995
312,Al(SeCl)4,-1.0319158957638888
313,Rb6LiPr11Se12(Cl4O9)4,-2.3774122922738825
314,Cs2DyAgCl6,-2.217991282252873
315,LiTiS2,-1.674923768229167
316,YB2Ru,-0.5982739987499999
317,ThTe3,-1.2897099924999997
318,Ta5Ga3B,-0.42127004407407437
319,TbLuIn2,-0.4258903424999998
320,K4Ba2SnBi4,-0.5470112597272728
321,Sr17(Li2Hg3)3,-0.3319495579166667
322,CaTiFe(PO4)3,-2.896471099074074
323,Sr2P6Rh7,-0.8880046405555561
324,Sc4FeBr5,-1.549098703375001
325,Sr2PrBiO6,-2.7692569933333333
326,ScAgSn,-0.46073329722222195
327,ZrNiH3,-0.5372645220000003
328,RbTaO3,-3.0338324940000008
329,Mg3Ir,-0.3440594120833336
330,KBa2Cd2Sb3,-0.7748522222500003
331,SrSn3Sb4,-0.36765027583333376
332,RePCl8O,-1.3199023273484842
333,Yb7In(CoGe3)4,-0.5540128941666668
334,DyAsSe,-1.5921199974479177
335,Rb2Sn3(SbS5)2,-0.8499808238970584
336,ErSnRu2,-0.39389415625
337,K2WCl6,-1.7578830606666667
338,CuPt7,-0.04387548124999974
339,HoSnRu2,-0.3753979862500003
340,Er6NiI10,-1.4106781323529414
341,CeCoSb3,-0.6736430720000002
342,CaPrCd2,-0.37231332625
343,AsPd3Pb2,-0.33390359583333346
344,NaAlH2CO5,-2.1834197766551724
345,Dy6GaNi2,-0.35617469583333317
346,BaIn2Pd,-0.56997551625
347,Y(SiAu)2,-0.5311787813333332
348,Ac3Tl,-0.09738155770833368
349,CsMoN2,-0.5973650576077594
350,Ho2ReB6,-0.644730016388888
351,BaZnCO3F2,-2.710566639375
352,K2Y4Sn2S11,-1.7539968414232454
353,Pm2CuSi,-0.3655949287499993
354,YbHfRh2,-0.8061952950000002
355,KCrF3,-2.9337907701
356,Li4Nd3Ge4,-0.6679932893939395
357,Zn3Co4(SbO6)2,-1.6747992949999997
358,TcRh3,-0.06858200000000103
359,Dy2S3,-2.370123479875
360,YTmTl2,-0.33273975749999973
361,Li3ScF6,-3.6235941916666663
362,RbSbF6,-2.909703090312499
363,ScNiBi,-0.6261232883333333
364,YbNbRu2,-0.16384042750000027
365,Ca(GaP)2,-0.6729073813333329
366,LiFeF6,-2.1840759035416664
367,Pm2AgRu,-0.23907965916666551
368,TbGdAl6,-0.4362233812500005
369,LaAl2,-0.5010386950000001
370,WI2,-0.4619296116666665
371,Ba2Ni5Ge4,-0.44986124272727324
372,Na2IrO3,-1.5486287488505752
373,YGeIr,-0.937951308888889
374,RbScCl3,-2.3025846365
375,Eu(GeRu)2,-0.5511961249999999
376,ThCo9Si2,-0.33477048958333455
377,TlHg3Sb2Br3,-0.6228331048148148
378,SmCrTeO6,-2.524807124444444
379,Bi12Rh3Cl2,-0.37123639676470577
380,Er6H40N8O49,-1.5721622586893214
381,SbBr3,-1.008699585
382,HF,-1.6950816037499998
383,Cr3NiP4,-0.5169267354166669
384,LaAsS,-1.825759551041667
385,UMn5P3,-0.6663042785727968
386,Ba3SbN,-0.9259719760000003
387,Mn4Cr(Co2Ge)5,-0.2354792938362067
388,NiSnF6,-2.6395651875000006
389,Al3Cr,-0.1403820824999995
390,CaNi(GeO3)2,-2.2760526775
391,Tm2C(NO)2,-2.5298346876190467
392,Tm3Ir,-0.6320148906249994
393,CsSmGeSe4,-1.4303080599722904
394,NbPt2,-0.6869240833333331
395,ScCoP,-1.1438038336111116
396,Ba2P7Br,-0.8329826510833336
397,ZrSbRu,-0.6308547316666674
398,Sr5As3O13,-2.672498711587303
399,Ce3InC,-0.32351530699999953
400,Cs2U3P6(HO5)4,-2.6665757007389166
401,Yb2HgPb,-0.6570497887500002
402,TbErIn2,-0.4499973525000005
403,KTh(SbSe3)2,-1.1952597657062498
404,PuNi3,-0.24284424416666658
405,YbNdCd2,-0.3743295175000001
406,TbGeRu,-0.713991006666666
407,BaNaPO4,-3.007455521412151
408,ThRe2,-0.09637375083333193
409,NaH4C3N3O4,-1.1105321144367812
410,TmInPd,-0.8108845599999996
411,Dy2GaCo2,-0.41163853150000024
412,InTeClO3,-1.6761797970833339
413,CaSe2O5,-1.9145079593359373
414,Mg149Tl,-0.02861262275555551
415,ZnBP2H4NO8,-2.033474704460784
416,BaNi9P5,-0.6675310507777785
